126	ETPF2	In	Trunnion F2 T.P. from Trunnion EC&L Module	226	ETPC1	In (LEM) | Spare (CSM)	Trunnion C1 T.P. from Trunnion EC&L Module	326		Spare		426		Spare		526		Spare		626	ATEMPH	In	Inner Gimbal Temp Sensor Hi
127	BTEMPH	In	Middle Gimbal Temp Sensor Hi	227	CTEMPH	In	Outer Gimbal Temp Sensor Hi	327	PTEMPH	In	Power Supply Temp Sensor Hi	427	DTEMPH	In	Shaft Temp Sensor Hi	527	ETEMPH	In	Trunnion Temp Sensor Hi	627	TEMPL	In	Temp Sensor Lo
128	O28RFS	NC	Optics 28Vrms 1% 800 cps reference shield	228	O28RFH	Out	Optics 28Vrms 1% 800 cps reference hi	328	O28RFL	Out	Optics 28Vrms 1% 800 cps reference lo	428	U28RFH	Out	ISS 28Vrms 1% 800 cps reference hi	528	U28RFL	Out	ISS 28Vrms 1% 800 cps reference lo	628	U28RFS	NC	ISS 28Vrms 1% 800 cps reference shield
129	ACAGEH	In	Inner gimbal IMU Cage hi from I.G. Coarse Module	229	ACAGEL	In	Inner gimbal IMU Cage lo from I.G. Coarse Module	329	ACAGES	NC	Inner gimbal IMU Cage shield	429	BCAGEH	In	Middle gimbal IMU Cage hi from M.G. Coarse Module	529	BCAGEL	In	Middle gimbal IMU Cage lo from M.G. Coarse Module	629	BCAGES	NC	Middle gimbal IMU Cage shield
130	CCAGEH	In	Outer gimbal IMU Cage hi from O.G. Coarse Module	230	CCAGEL	In	Outer gimbal IMU Cage lo from O.G. Coarse Module	330	CCAGES	NC	Outer gimbal IMU Cage shield	430	ACAEHI	In	Inner gimbal Coarse Align Error hi from I.G. D/A Module	530	ACAELO	In	Inner gimbal Coarse Align Error lo from I.G. D/A Module	630	ACAESH	NC	Inner gimbal Coarse Align Error shield
131	BCAEHI	In	Middle gimbal Coarse Align Error hi from M.G. D/A Module	231	BCAELO	In	Middle gimbal Coarse Align Error lo from M.G. D/A Module	331	BCAESH	NC	Middle gimbal Coarse Align Error shield	431	CCAEHI	In	Outer gimbal Coarse Align Error hi from O.G. D/A Module	531	CCAELO	In	Outer gimbal Coarse Align Error lo from O.G. D/A Module	631	CCAESH	NC	Outer gimbal Coarse Align Error shield
132	AATERH	In	Inner gimbal AC Error hi from I.G. D/A Module	232	AATERL	In	Inner gimbal AC Error lo from I.G. D/A Module	332	AATERS	NC	Inner gimbal AC Error shield	432	BATERH	In	Middle gimbal AC Error hi from M.G. D/A Module	532	BATERL	In	Middle gimbal AC Error lo from M.G. D/A Module	632	BATERS	NC	Middle gimbal AC Error shield
133	CATERH	In	Outer gimbal AC Error hi from O.G. D/A Module	233	CATERL	In	Outer gimbal AC Error lo from O.G. D/A Module	333	CATERS	NC	Outer gimbal AC Error shield	433	DATERH	In	Shaft AC Error hi from Shaft D/A Module	533	DATERL	In	Shaft AC Error lo from Shaft D/A Module	633	DATERS	NC	Shaft AC Error shield
134	EATERH	In	Trunnion AC Error hi from Trunnion D/A Module	234	EATERL	In	Trunnion AC Error lo from Trunnion D/A Module	334	EATERS	NC	Trunnion AC Error shield	434	SATPH	In (CSM) | Spare (LEM)	Pitch Error Signal hi to Saturn Interface	534	SATPL	In (CSM) | Spare (LEM)	Pitch Error Signal lo to Saturn Interface	634	SATPS	NC (CSM) | Spare (LEM)	Pitch Error Signal shield to Saturn Interface
135	SATYH	In (CSM) | Spare (LEM)	Yaw Error Signal hi to Saturn Interface	235	SATYL	In (CSM) | Spare (LEM)	Yaw Error Signal lo to Saturn Interface	335	SATYS	NC (CSM) | Spare (LEM)	Yaw Error Signal shield to Saturn Interface	435	SATRH	In (CSM) | Spare (LEM)	Roll Error Signal hi to Saturn Interface	535	SATRL	In (CSM) | Spare (LEM)	Roll Error Signal lo to Saturn Interface	635	SATRS	NC (CSM) | Spare (LEM)	Roll Error Signal shield to Saturn Interface
136	U+28VH	Out	ISS +28VDC	236	+4VLO	Out	CDU 0V	336	O+28VH	Out	Optics +28VDC	436	+4VLO	Out	CDU 0V	536	SATCON	In (CSM) | Spare (LEM)	S.C. Control of Saturn (I.S.S. 28V from switch)	636	GCAPC	Out (CSM) | Spare (LEM)	GN&C Autopilot Control (from CSM 28V)
137	ENGPS	NC (CSM) | NC (LEM)	DAC Errors for TVC shield | LEM S/C Display shield	237	ENGPH	In (CSM) | In (LEM)	DAC Errors for TVC hi | LEM S/C Display hi	337	ENGPL	In (CSM) | In (LEM)	DAC Errors for TVC lo | LEM S/C Display lo	437	ENGYH	In (CSM) | In (LEM)	DAC Errors for TVC hi | LEM S/C Display hi	537	ENGYL	In (CSM) | In (LEM)	DAC Errors for TVC lo | LEM S/C Display lo	637	ENGYS	NC (CSM) | NC (LEM)	DAC Errors for TVC shield | LEM S/C Display shield
138	CARPSA	In	Coarse Align Relay Enable from Mode Module	238	+4VLO	In	Logic Ground from 4V Power Supply	338	CAGE	Out	Cage Override to Mode Module	438		Spare		538		Spare		638		Spare	
139		Spare		239		Spare		339		Spare		439		Spare		539		Spare		639	_CHASS	Out	Structure Ground
140	AFSINH	Out	Inner gimbal sin 16Θ hi to I.G. Quad Select Module	240	AFSINL	Out	Inner gimbal sin 16Θ lo to I.G. Quad Select Module	340	AFSINS	NC	Inner gimbal sin 16Θ shield	440	AFCOSH	Out	Inner gimbal cos 16Θ hi to I.G. Quad Select Module	540	AFCOSL	Out	Inner gimbal cos 16Θ lo to I.G. Quad Select Module	640	AFCOSS	NC	Inner gimbal cos 16Θ shield
141	ACSINH	Out	Inner gimbal sin Θ hi to I.G. Coarse Module	241	ACSINL	Out	Inner gimbal sin Θ lo to I.G. Coarse Module	341	ACSINS	NC	Inner gimbal sin Θ shield	441	ACCOSH	Out	Inner gimbal cos Θ hi to I.G. Coarse Module	541	ACCOSL	Out	Inner gimbal cos Θ lo to I.G. Coarse Module	641	ACCOSS	NC	Inner gimbal cos Θ shield
142	BFSINH	Out	Middle gimbal sin 16Θ hi to M.G. Quad Select Module	242	BFSINL	Out	Middle gimbal sin 16Θ lo to M.G. Quad Select Module	342	BFSINS	NC	Middle gimbal sin 16Θ shield	442	BFCOSH	Out	Middle gimbal cos 16Θ hi to M.G. Quad Select Module	542	BFCOSL	Out	Middle gimbal cos 16Θ lo to M.G. Quad Select Module	642	BFCOSS	NC	Middle gimbal cos 16Θ shield
143	BCSINH	Out	Middle gimbal sin Θ hi to M.G. Coarse Module	243	BCSINL	Out	Middle gimbal sin Θ lo to M.G. Coarse Module	343	BCSINS	NC	Middle gimbal sin Θ shield	443	BCCOSH	Out	Middle gimbal cos Θ hi to M.G. Coarse Module	543	BCCOSL	Out	Middle gimbal cos Θ lo to M.G. Coarse Module	643	BCCOSS	NC	Middle gimbal cos Θ shield
144	CFSINH	Out	Outer gimbal sin 16Θ hi to O.G. Quad Select Module	244	CFSINL	Out	Outer gimbal sin 16Θ lo to O.G. Quad Select Module	344	CFSINS	NC	Outer gimbal sin 16Θ shield	444	CFCOSH	Out	Outer gimbal cos 16Θ hi to O.G. Quad Select Module	544	CFCOSL	Out	Outer gimbal cos 16Θ lo to O.G. Quad Select Module	644	CFCOSS	NC	Outer gimbal cos 16Θ shield
145	CCSINH	Out	Outer gimbal sin Θ hi to O.G. Coarse Module	245	CCSINL	Out	Outer gimbal sin Θ lo to O.G. Coarse Module	345	CCSINS	NC	Outer gimbal sin Θ shield	445	CCCOSH	Out	Outer gimbal cos Θ hi to O.G. Coarse Module	545	CCCOSL	Out	Outer gimbal cos Θ lo to O.G. Coarse Module	645	CCCOSS	NC	Outer gimbal cos Θ shield
146	DFSINH	Out	Shaft sin 16Θ hi to Shaft Quad Select Module	246	DFSINL	Out	Shaft sin 16Θ lo to Shaft Quad Select Module	346	DFSINS	NC	Shaft sin 16Θ shield	446	DFCOSH	Out	Shaft cos 16Θ hi to Shaft Quad Select Module	546	DFCOSL	Out	Shaft cos 16Θ lo to Shaft Quad Select Module	646	DFCOSS	NC	Shaft cos 16Θ shield
147	DCSINH	Out (LEM) | Spare (CSM)	Shaft sin Θ hi to Shaft Coarse Module	247	DCSINL	Out (LEM) | Spare (CSM)	Shaft sin Θ lo to Shaft Coarse Module	347	DCSINS	NC (LEM) | Spare (CSM)	Shaft sin Θ shield	447	DCCOSH	Out (LEM) | Spare (CSM)	Shaft cos Θ hi to Shaft Coarse Module	547	DCCOSL	Out (LEM) | Spare (CSM)	Shaft cos Θ lo to Shaft Coarse Module	647	DCCOSS	NC (LEM) | Spare (CSM)	Shaft cos Θ shield
148	EFSINH	Out	Trunnion sin 16Θ hi to Trunnion Quad Select Module	248	EFSINL	Out	Trunnion sin 16Θ lo to Trunnion Quad Select Module	348	EFSINS	NC	Trunnion sin 16Θ shield	448	EFCOSH	Out	Trunnion cos 16Θ hi to Trunnion Quad Select Module	548	EFCOSL	Out	Trunnion cos 16Θ lo to Trunnion Quad Select Module	648	EFCOSS	NC	Trunnion cos 16Θ shield
149	ECSINH	Out (LEM) | Spare (CSM)	Trunnion sin Θ lo hi Trunnion Coarse Module	249	ECSINL	Out (LEM) | Spare (CSM)	Trunnion sin Θ lo to Trunnion Coarse Module	349	ECSINS	NC (LEM) | Spare (CSM)	Trunnion sin Θ shield	449	ECCOSH	Out (LEM) | Spare (CSM)	Trunnion cos Θ hi to Trunnion Coarse Module	549	ECCOSL	Out (LEM) | Spare (CSM)	Trunnion cos Θ lo to Trunnion Coarse Module	649	ECCOSS	NC (LEM) | Spare (CSM)	Trunnion cos Θ shield
150		Spare		250		Spare		350		Spare		450		Spare		550		Spare		650		Spare	
